idAdministradora,strCnpjAdministradora,strNomeAdministradora,idTipoAdministradora,NomeTipoAdministradora,idSegmento,strNomeSegmento,dtBase,fltTaxaAdministracao,intQuantidadeGruposAtivos,intQuantidadeGruposConstituidosMes,intQuantidadeGruposEncerradosMes,intQuantidadeCotasComercializadasMes,intQuantidadeCotasExcluidasComercializar,intQuantidadeAcumuladaCotasAtivasContempladas,intQuantidadeCotasAtivasNaoContempladas,intQuantidadeCotasAtivasContempladasMes,intQuantidadeCotasAtivasAdimplentes,intQuantidadeCotasAtivasContempladasInadimplente,intQuantidadeCotasAtivasNaoContempladasInadimplentes,intQuantidadeCotasExcluidas,intQuantidadeCotasAtivasQuitadas,intQuantidadeCotasAtivasComCreditoPendenteUtilizacao,fltReceitaOperacional,fltReceitaNaoOperacional,fltDespesaOperacional,fltDespesaAdministrativa,fltDespesaNaoOperacional,fltResultado,fltIndiceDASobreReceita,fltIndiceDOSemDASobreReceita,fltIndiceDOSobreReceita,fltIndiceResultadoSobreReceita
32,7808907,ADM CONS SICREDI LTDA,1,Balcão Bancário,1,IMÓVEIS,2024-06-01,12.74089,78,4,0,1530,328,22959,36105,395,54713,1190,3161,23442,5017,9919,208716304.0,0.0,-201369312.0,-157448192.0,0.0,7346992.0,0.754365,0.210435,0.964799,0.035201
32,7808907,ADM CONS SICREDI LTDA,1,Balcão Bancário,2,VEÍCULOS PESADOS,2024-06-01,8.27061,86,2,0,887,84,22135,19723,404,39527,1187,1144,7502,7431,7452,208716304.0,0.0,-201369312.0,-157448192.0,0.0,7346992.0,0.754365,0.210435,0.964799,0.035201
32,7808907,ADM CONS SICREDI LTDA,1,Balcão Bancário,3,VEÍCULOS LEVES,2024-06-01,9.62754,302,8,3,6766,501,86494,93413,2238,170796,3763,5348,35749,27210,16751,208716304.0,0.0,-201369312.0,-157448192.0,0.0,7346992.0,0.754365,0.210435,0.964799,0.035201
32,7808907,ADM CONS SICREDI LTDA,1,Balcão Bancário,4,MOTOCICLETAS,2024-06-01,12.72811,102,4,2,1192,260,24813,18815,585,40424,1755,1449,10076,8269,4515,208716304.0,0.0,-201369312.0,-157448192.0,0.0,7346992.0,0.754365,0.210435,0.964799,0.035201
32,7808907,ADM CONS SICREDI LTDA,1,Balcão Bancário,5,ELETRODOMÉSTICOS,2024-06-01,14.11995,5,0,0,52,4,747,553,26,1197,50,53,268,129,123,208716304.0,0.0,-201369312.0,-157448192.0,0.0,7346992.0,0.754365,0.210435,0.964799,0.035201
32,7808907,ADM CONS SICREDI LTDA,1,Balcão Bancário,6,SERVIÇOS,2024-06-01,14.62736,100,5,3,2104,289,27600,21851,1102,45603,2320,1528,8173,6654,3021,208716304.0,0.0,-201369312.0,-157448192.0,0.0,7346992.0,0.754365,0.210435,0.964799,0.035201
139,92692979,BANRISUL S.A. ADM CONSÓRCIOS,1,Balcão Bancário,1,IMÓVEIS,2024-06-01,18.028799,50,1,0,160,2382,8583,8096,119,15741,393,545,21933,2740,2354,88532728.0,5123.89,-31574824.0,-19659792.0,0.0,56963027.89,0.22205,0.134576,0.356625,0.643375
139,92692979,BANRISUL S.A. ADM CONSÓRCIOS,1,Balcão Bancário,2,VEÍCULOS PESADOS,2024-06-01,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88532728.0,5123.89,-31574824.0,-19659792.0,0.0,56963027.89,0.22205,0.134576,0.356625,0.643375
139,92692979,BANRISUL S.A. ADM CONSÓRCIOS,1,Balcão Bancário,3,VEÍCULOS LEVES,2024-06-01,12.62375,90,4,3,993,411,37262,24285,913,57866,2571,1110,29528,13221,5697,88532728.0,5123.89,-31574824.0,-19659792.0,0.0,56963027.89,0.22205,0.134576,0.356625,0.643375
139,92692979,BANRISUL S.A. ADM CONSÓRCIOS,1,Balcão Bancário,4,MOTOCICLETAS,2024-06-01,17.99353,8,0,0,22,257,2751,1144,85,3593,216,86,2884,621,731,88532728.0,5123.89,-31574824.0,-19659792.0,0.0,56963027.89,0.22205,0.134576,0.356625,0.643375
139,92692979,BANRISUL S.A. ADM CONSÓRCIOS,1,Balcão Bancário,5,ELETRODOMÉSTICOS,2024-06-01,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88532728.0,5123.89,-31574824.0,-19659792.0,0.0,56963027.89,0.22205,0.134576,0.356625,0.643375
139,92692979,BANRISUL S.A. ADM CONSÓRCIOS,1,Balcão Bancário,6,SERVIÇOS,2024-06-01,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88532728.0,5123.89,-31574824.0,-19659792.0,0.0,56963027.89,0.22205,0.134576,0.356625,0.643375
85,52568821,BRADESCO CONS. LTDA.,1,Balcão Bancário,1,IMÓVEIS,2024-06-01,17.989599,386,0,2,5896,54664,145593,106640,1593,234691,5318,12224,423242,60728,24683,1780628480.0,212557.0,-320314112.0,-49378032.0,-90.58,1460526834.42,0.027727,0.152139,0.179867,0.820133
85,52568821,BRADESCO CONS. LTDA.,1,Balcão Bancário,2,VEÍCULOS PESADOS,2024-06-01,17.91721,356,0,1,2368,28516,68131,78683,1869,132510,4665,9639,154310,18425,8788,1780628480.0,212557.0,-320314112.0,-49378032.0,-90.58,1460526834.42,0.027727,0.152139,0.179867,0.820133
85,52568821,BRADESCO CONS. LTDA.,1,Balcão Bancário,3,VEÍCULOS LEVES,2024-06-01,16.27953,2325,4,24,25622,144004,647828,464829,16609,1016888,43815,51954,1159139,198910,83526,1780628480.0,212557.0,-320314112.0,-49378032.0,-90.58,1460526834.42,0.027727,0.152139,0.179867,0.820133
85,52568821,BRADESCO CONS. LTDA.,1,Balcão Bancário,4,MOTOCICLETAS,2024-06-01,17.759171,28,1,0,229,1264,3829,4725,171,8022,161,371,5393,1174,719,1780628480.0,212557.0,-320314112.0,-49378032.0,-90.58,1460526834.42,0.027727,0.152139,0.179867,0.820133
85,52568821,BRADESCO CONS. LTDA.,1,Balcão Bancário,5,ELETRODOMÉSTICOS,2024-06-01,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1780628480.0,212557.0,-320314112.0,-49378032.0,-90.58,1460526834.42,0.027727,0.152139,0.179867,0.820133
85,52568821,BRADESCO CONS. LTDA.,1,Balcão Bancário,6,SERVIÇOS,2024-06-01,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1780628480.0,212557.0,-320314112.0,-49378032.0,-90.58,1460526834.42,0.027727,0.152139,0.179867,0.820133
64,45441789,ADM CONS NAC HONDA LTDA,2,Balcão Concessionária,1,IMÓVEIS,2024-06-01,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1116746880.0,2222633.25,-804871616.0,-674637056.0,-5797.43,314092099.82,0.602909,0.116388,0.719297,0.280698
